Zone, 250C11, 500C11, WrPr11, OtPk11, BkSc11
Zone, 2011_250m_car_share, 2011_500m_car_share, 2011_work_parking, 2011_nonwork_parking, 2011_bike_score
25540, 2, 3, 0.3, 0.25, 4
25550, 2, 3, 0.3, 0.25, 4
25560, 2, 3, 0.3, 0.25, 4
25570, 2, 3, 0.2, 0.35, 3
25580, 1, 2, 0.2, 0.35, 3
25590, 1, 1, 0.3, 0.25, 4
25600, 1, 1, 0.3, 0.25, 4
25610, 0, 0, 0.4, 0.25, 4
25620, 2, 3, 0.3, 0.25, 4
25630, 1, 3, 0.3, 0.25, 4
25640, 2, 3, 0.3, 0.25, 4
25650, 2, 3, 0.3, 0.25, 4
25660, 1, 2, 0.2, 0.25, 3
25670, 1, 2, 0.3, 0.25, 4
25680, 2, 3, 0.4, 0.25, 4
25690, 1, 1, 0.4, 0.35, 4
25700, 1, 1, 0.3, 0.25, 4
25710, 0, 1, 0.4, 0.35, 4
25720, 0, 0, 0.3, 0.25, 4
25730, 0, 0, 0.2, 0.25, 4
25740, 1, 2, 0.2, 0.25, 3
25750, 1, 2, 0.3, 0.25, 4
25760, 1, 2, 0.3, 0.25, 4
25770, 1, 2, 0.3, 0.25, 4
25780, 1, 2, 0.4, 0.25, 4
25790, 1, 2, 0.4, 0.25, 4
25800, 1, 1, 0.2, 0.25, 4
25810, 0, 0, 0.2, 0.25, 4
25820, 0, 0, 0.3, 0.25, 4
25830, 0, 0, 0.2, 0.25, 4
25840, 1, 2, 0.4, 0.25, 4
25850, 1, 2, 0.4, 0.25, 4
25860, 1, 2, 0.4, 0.35, 4
25870, 1, 2, 0.4, 0.35, 4
25880, 0, 2, 0.4, 0.35, 4
25890, 1, 2, 0.4, 0.25, 4
25900, 0, 1, 0.4, 0.35, 4
25910, 0, 1, 0.4, 0.35, 4
25920, 0, 1, 0.2, 0.25, 4
26010, 0, 0, 0.2, 0.25, 4
26020, 0, 1, 0.45, 0.25, 4
26030, 2, 2, 0.45, 0.25, 4
26040, 1, 2, 0.45, 0.25, 4
26050, 0, 2, 0, 0.35, 4
26060, 0, 2, 0, 0.35, 4
26070, 0, 1, 0.4, 0.35, 3
26080, 0, 1, 0.4, 0.35, 3
26090, 0, 1, 0.2, 0.25, 4
26100, 2, 2, 0.3, 0.25, 4
26110, 2, 2, 0.45, 0.25, 4
26120, 0, 1, 0.4, 0.35, 3
26130, 0, 1, 0.4, 0.35, 3
26140, 0, 0, 0.4, 0.25, 4
26150, 0, 0, 0.4, 0.25, 4
26160, 2, 2, 0.3, 0.25, 4
26170, 0, 1, 0.2, 0.35, 4
26180, 2, 2, 0.3, 0.25, 4
26190, 2, 2, 0.3, 0.25, 4
26200, 1, 1, 0.45, 0.25, 4
26210, 0, 0, 0.4, 0.35, 4
26220, 0, 0, 0.2, 0.25, 3
26230, 0, 0, 0.4, 0.25, 4
26240, 0, 2, 0.2, 0.35, 4
26250, 0, 0, 0.2, 0.35, 4
26260, 1, 1, 0.45, 0.25, 4
26270, 0, 0, 0.4, 0.35, 4
26280, 0, 0, 0.4, 0.35, 4
26290, 0, 0, 0.2, 0.25, 3
26300, 0, 0, 0.2, 0.25, 3
26310, 0, 0, 0.2, 0.25, 3
26320, 0, 0, 0.4, 0.25, 3
26330, 0, 0, 0.4, 0.25, 3
26340, 0, 1, 0.45, 0.25, 4
26350, 0, 0, 0.2, 0.25, 4
26360, 0, 0, 0.2, 0.25, 4
26370, 0, 0, 0.2, 0.25, 3
26380, 0, 0, 0.2, 0.25, 3
26390, 0, 0, 0.2, 0.25, 3
26400, 0, 0, 0.4, 0.25, 3
26410, 0, 0, 0.45, 0.25, 4
26420, 0, 0, 0.2, 0.25, 4
26430, 0, 0, 0.2, 0.25, 3
26440, 0, 0, 0.2, 0.25, 4
26450, 0, 0, 0.4, 0.25, 4
26460, 0, 0, 0.4, 0.25, 4
26470, 0, 0, 0.4, 0.25, 4
26480, 0, 0, 0.2, 0.25, 3
26490, 0, 0, 0.2, 0.25, 3
26500, 0, 0, 0.2, 0.25, 4
26510, 0, 0, 0.3, 0.25, 3
26520, 0, 0, 0.2, 0.35, 3
26530, 0, 0, 0.2, 0.25, 3
26540, 0, 0, 0.2, 0.25, 3
26550, 0, 0, 0.4, 0.25, 4
26560, 0, 0, 0, 0, 5
26570, 0, 0, 0.2, 0.25, 3
26580, 0, 0, 0.2, 0, 5
26590, 0, 0, 0, 0.25, 5
26600, 0, 0, 0, 0.25, 5
27010, 0, 0, 0.25, 0.2, 3
27020, 0, 0, 0.25, 0.2, 3
27030, 0, 0, 0.25, 0.2, 3
27040, 0, 0, 0.25, 0.2, 3
27050, 0, 0, 0.25, 0.2, 3
27060, 0, 0, 0.25, 0.2, 3
27070, 0, 0, 0.25, 0.2, 3
27080, 1, 1, 0.25, 0.2, 3
27090, 1, 1, 0.25, 0.2, 3
27100, 0, 0, 0.25, 0.2, 3
27110, 0, 0, 0.35, 0.15, 3
27120, 1, 1, 0.35, 0.15, 3
27130, 1, 1, 0.25, 0.15, 3
27140, 0, 0, 0.25, 0.2, 3
27150, 0, 0, 0.25, 0.2, 3
27160, 1, 1, 1.4, 0.6, 3
27170, 1, 1, 1.4, 0.6, 3
27180, 0, 0, 0.25, 0.15, 3
27190, 0, 0, 0.35, 0.15, 3
