purpose,geo,gb_i,IX,mode,peakperiod,direction,shares
nhbo,A,2,IX,Bus,AM,PtoA,0.010341
nhbo,A,3,IX,Bus,AM,PtoA,0.009762
nhbo,A,4,IX,Bus,AM,PtoA,0.009762
nhbo,A,5,IX,Bus,AM,PtoA,0.010341
nhbo,A,1,IX,Bus,PM,PtoA,0.100251
nhbo,A,2,IX,Bus,PM,PtoA,0.100251
nhbo,A,3,IX,Bus,PM,PtoA,0.100251
nhbo,A,4,IX,Bus,PM,PtoA,0.100251
nhbo,A,5,IX,Bus,PM,PtoA,0.100251
nhbo,A,1,IX,Rail,AM,PtoA,0.012068
nhbo,A,2,IX,Rail,AM,PtoA,0.010341
nhbo,A,3,IX,Rail,AM,PtoA,0.010341
nhbo,A,4,IX,Rail,AM,PtoA,0.01092
nhbo,A,5,IX,Rail,AM,PtoA,0.010341
nhbo,A,1,IX,Rail,PM,PtoA,0.105473
nhbo,A,2,IX,Rail,PM,PtoA,0.100251
nhbo,A,3,IX,Rail,PM,PtoA,0.100251
nhbo,A,4,IX,Rail,PM,PtoA,0.100251
nhbo,A,5,IX,Rail,PM,PtoA,0.100251
nhbo,A,9999,IX,Transit,MD,PtoA,0.103291
nhbw,A,9999,IX,Active,AM,PtoA,0.013422
nhbw,A,9999,IX,Active,MD,PtoA,0.179572
nhbw,A,9999,IX,Active,PM,PtoA,0.1079
nhbw,A,9999,IX,Auto,AM,PtoA,0.064469
nhbw,A,9999,IX,Auto,MD,PtoA,0.103301
nhbw,A,9999,IX,Auto,PM,PtoA,0.095555
nhbw,A,1,IX,Bus,AM,PtoA,0.033968
nhbw,A,2,IX,Bus,AM,PtoA,0.030574
nhbw,A,3,IX,Bus,AM,PtoA,0.028862
nhbw,A,4,IX,Bus,AM,PtoA,0.028862
nhbw,A,5,IX,Bus,AM,PtoA,0.030574
nhbw,A,1,IX,Bus,PM,PtoA,0.189576
nhbw,A,2,IX,Bus,PM,PtoA,0.189576
nhbw,A,3,IX,Bus,PM,PtoA,0.189576
nhbw,A,4,IX,Bus,PM,PtoA,0.189576
nhbw,A,5,IX,Bus,PM,PtoA,0.189576
nhbw,A,1,IX,Rail,AM,PtoA,0.03568
nhbw,A,2,IX,Rail,AM,PtoA,0.030574
nhbw,A,3,IX,Rail,AM,PtoA,0.030574
nhbw,A,4,IX,Rail,AM,PtoA,0.032286
nhbw,A,5,IX,Rail,AM,PtoA,0.030574
nhbw,A,1,IX,Rail,PM,PtoA,0.19945
nhbw,A,2,IX,Rail,PM,PtoA,0.189576
nhbw,A,3,IX,Rail,PM,PtoA,0.189576
nhbw,A,4,IX,Rail,PM,PtoA,0.189576
nhbw,A,5,IX,Rail,PM,PtoA,0.189576
nhbw,A,9999,IX,Transit,MD,PtoA,0.080106
