c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
a matrix=mo115   s2010   0.0 Segment H2W0LA0                         
   gy01    all  321.1426
   gy02    all  543.5294
   gy03    all  1391.155
   gy04    all  3842.996
   gy05    all   2804.71
   gy06    all  912.0711
   gy07    all  810.0233
   gy08    all  177.2695
   gy09    all  1255.814
   gy10    all  466.1047
   gy11    all  381.2865
   gy12    all   550.036
   gy13    all  246.3812
   gy14    all  1207.925
a matrix=mo116   s2110   0.0 Segment H2W1LA0                         
   gy01    all  128.8262
   gy02    all  538.2017
   gy03    all  2427.837
   gy04    all  4397.383
   gy05    all  1919.467
   gy06    all   585.246
   gy07    all  578.5268
   gy08    all   104.629
   gy09    all  1008.214
   gy10    all  159.6049
   gy11    all  243.2675
   gy12    all  345.2906
   gy13    all    114.19
   gy14    all   500.346
a matrix=mo117   s2210   0.0 Segment H2W2LA0                         
   gy01    all   52.1166
   gy02    all  283.3896
   gy03    all  1012.224
   gy04    all  2502.581
   gy05    all  1017.015
   gy06    all   302.461
   gy07    all   239.894
   gy08    all  32.33386
   gy09    all  342.0702
   gy10    all  17.40189
   gy11    all  132.1107
   gy12    all  113.5316
   gy13    all  75.94402
   gy14    all  284.8763
a matrix=mo118   s3010   0.0 Segment H3W0LA0                         
   gy01    all  12.38031
   gy02    all  38.69608
   gy03    all  98.07464
   gy04    all  399.5972
   gy05    all  253.4565
   gy06    all  62.97035
   gy07    all  87.89591
   gy08    all   9.29496
   gy09    all  45.76324
   gy10    all  41.78928
   gy11    all  19.44668
   gy12    all   12.9272
   gy13    all  14.25984
   gy14    all  30.67212
a matrix=mo119   s3110   0.0 Segment H3W1LA0                         
   gy01    all  18.40714
   gy02    all   62.5978
   gy03    all  398.4008
   gy04    all  760.2566
   gy05    all  339.2578
   gy06    all  110.7074
   gy07    all  118.0462
   gy08    all  15.39659
   gy09    all  102.2565
   gy10    all  15.90687
   gy11    all  39.91281
   gy12    all  38.74293
   gy13    all  11.51347
   gy14    all  44.89254
a matrix=mo120   s3210   0.0 Segment H3W2LA0                         
   gy01    all  9.165292
   gy02    all  47.96539
   gy03    all  103.4115
   gy04    all  458.7016
   gy05    all  189.7645
   gy06    all  66.27779
   gy07    all  76.22427
   gy08    all  8.572766
   gy09    all  73.89932
   gy10    all  4.120016
   gy11    all  24.70031
