t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      5  81090  .4419914
      5  81100  .1076413
      5  81120  .0134905
      5  81150  .1757295
      5  81190  .1319448
      5  81200  .0539620
      5  81270  .1211179
      5  81310  .2689307
      5  81320  .1252649
      5  81380  .6168821
      5  81490  .5184000
      5  81500  .9006044
      5  81590  .4791059
      5  81600  .0956347
      5  81610  .3517981
      5  81640  .0680941
      5  81650  .1681672
      5  82190  .1702043
      5  82250  .7045957
      5  83010  .4290188
      5  83020  .0209812
      8      3  .1512000
      8      4  .0492000
      8      5    2.6808
     10      3  .2688000
     10      4  .0480000
     10      5  .6720000
     11      3    1.3692
     11      4  .1872000
     11      5    2.5692
  11180      3  .0220699
  11180      4  .0019191
  11180      5  .0323052
  11200      3  .0292224
  11200      4  .0025411
  11200      5  .0427748
  11210      3  .0173379
  11210      4  .0015076
  11210      5  .0253787
  11220      3  .0141698
  11220      4  .0012322
  11220      5  .0207413
  12010      3  .0240000
  12010      4  .0036000
  12010      5  .0588000
  12020      3  .0156000
  12020      4  .0024000
  12020      5  .0384000
  12080      3  .0016109
  12080      4  .0004027
  12080      5  .0257737
  12090      5  .0744000
  12120      3  .0031891
  12120      4  .0007973
  12120      5  .0510263
  21010      3  .0082118
  21010      4  .0008212
  21010      5  .0736820
  21030      3  .0426841
  21030      4  .0042684
  21030      5  .3829929
  21050      3  .0198198
  21050      4  .0019820
  21050      5  .1778374
  21080      3  .0109009
  21080      4  .0010901
  21080      5  .0978106
  21100      3  .0333255
  21100      4  .0033325
  21100      5  .2990204
  21150      3  .0170580
  21150      4  .0017058
  21150      5  .1530568
  21160      3  .0323860
  21160      4  .0055056
  21160      5  .4236090
  22010      3  .2292000
  22010      4  .0276000
  22010      5      1.29
  22390      3  .4124402
  22390      4  .0665053
  22390      5  2.406527
  22400      3  .2315036
  22400      4  .0373296
  22400      5  1.350789
  22530      3  .2788562
  22530      4  .0449651
  22530      5  1.627084
  23370      3  .0934670
  23370      4  .0161443
  23370      5  1.067223
  23440      3  .0521220
  23440      4  .0069496
  23440      5  .4219956
  23450      3  .0342710
  23450      4  .0045695
  23450      5  .2774685
  23460      3  .0756069
  23460      4  .0100809
  23460      5  .6121359
  23500      3  .0385330
  23500      4  .0066557
  23500      5  .4399766
  24140      3  .0074493
  24140      4  .0012664
  24140      5  .0974364
  24150      3  .0223625
  24150      4  .0038016
  24150      5  .2925014
  24160      3  .0322656
  24160      4  .0054852
  24160      5  .4220344
  24260      3  .0440614
  24260      4  .0047695
  24260      5  .2000931
  24270      3  .0188548
  24270      4  .0020410
  24270      5  .0856242
  24280      3  .0258195
  24280      4  .0027949
  24280      5  .1172526
  24300      3  .0255366
  24300      4  .0043412
  24300      5  .3340187
  24320      3  .1811608
  24320      4  .0216311
  24320      5  1.045505
  24340      3  .0333437
  24340      4  .0036094
  24340      5  .1514218
  24350      3  .0546234
  24350      4  .0059128
  24350      5  .2480579
  24400      3  .0560971
  24400      4  .0060724
  24400      5  .2547504
  25120      3  .0755653
  25120      4  .0146504
  25120      5  .7730020
  25130      3  .0794394
  25130      4  .0154015
  25130      5  .8126330
  25220      3  .0660022
  25220      4  .0127964
  25220      5  .6751760
  25230      3  .0141931
  25230      4  .0027517
  25230      5  .1451892
  25280      3  .0165665
  25280      4  .0023354
  25280      5  .0551731
  25290      3  .0537004
  25290      4  .0075701
  25290      5  .1788437
  25300      3  .0191776
  25300      4  .0029555
  25300      5  .0985152
  25310      3  .0551778
  25310      4  .0077784
  25310      5  .1837640
  25320      3  .0424441
  25320      4  .0059833
  25320      5  .1413558
  25370      3  .0561084
  25370      4  .0086468
  25370      5  .2882281
  25380      3  .1045111
  25380      4  .0147328
  25380      5  .3480634
  25390      3  .2751140
  25390      4  .0423977
  25390      5  1.413257
  25660      3  .1225129
  25660      4  .0209168
  25660      5  .8720328
  25740      3  .1726871
  25740      4  .0294832
  25740      5  1.229167
  25800      3  .1168445
  25800      4  .0146667
  25800      5  .4752000
  25810      3  .1699556
  25810      4  .0213333
  25810      5  .6912001
  26310      3  .2196337
  26310      4  .0256715
  26310      5  1.456618
  26340      3  .0418204
  26340      4  .0049935
  26340      5  .2413518
  26390      3  .0575663
  26390      4  .0067285
  26390      5  .3817815
  26410      3  .0182188
  26410      4  .0021754
  26410      5  .1051431
  27140      3  .5441064
  27140      4  .0423979
  27140      5  .7466741
  27160      3  .1624913
  27160      4  .0280744
  27160      5  .5836075
  27170      3  .0648481
  27170      4  .0112041
  27170      5  .2329099
  27220      3  .0861062
  27220      4  .0067096
  27220      5  .1181630
  27230      3  .2013875
  27230      4  .0156925
  27230      5  .2763629
  27290      3  .0018606
  27290      4  .0003215
  27290      5  .0066826
  27660      3  .1414706
  27660      4  .0240646
  27660      5  .6745377
  28080      3  .1792558
  28080      4  .0309825
  28080      5  .7955859
  28090      3  .0151442
  28090      4  .0026175
  28090      5  .0672141
  28220      3  .0365318
  28220      4  .0062142
  28220      5  .1741850
  28270      3  .0547976
  28270      4  .0093212
  28270      5  .2612773
  28380      3  .0344298
  28380      4  .0065581
  28380      5  .3874719
  28390      3  .0411702
  28390      4  .0078419
  28390      5  .4633282
  28600      3  .0973037
  28600      4  .0180483
  28600      5  .5226148
  28610      3  .0514963
  28610      4  .0095517
  28610      5  .2765851
  28710      3  .0024169
  28710      4  .0003767
  28710      5  .0215323
  28720      3  .0065942
  28720      4  .0010277
  28720      5  .0587483
  28730      3  .0036448
  28730      4  .0005680
  28730      5  .0324723
  28740      3  .0501029
  28740      4  .0078082
  28740      5  .4463710
  28750      3  .0296412
  28750      4  .0046194
  28750      5  .2640761
  29040      3  .0043973
  29040      4  .0007329
  29040      5  .0136500
  29060      3  .0097334
  29060      4  .0016222
  29060      5  .0302140
  29070      3  .0063788
  29070      4  .0010631
  29070      5  .0198010
  29120      3  .0370905
  29120      4  .0061817
  29120      5  .1151350
  29280      3  .0946561
  29280      4  .0083520
  29280      5  .3727778
  29340      3  .3133439
  29340      4  .0276480
  29340      5  1.234022
  31110      3  .0070421
  31110      4  .0014220
  31110      5  .0118497
  31120      3  .0565568
  31120      4  .0114201
  31120      5  .0951677
  31130      3  .0359301
  31130      4  .0063313
  31130      5  .0457437
  31160      3  .0355095
  31160      4  .0062572
  31160      5  .0452081
  31170      3  .0349449
  31170      4  .0061577
  31170      5  .0444893
  31180      3  .0433166
  31180      4  .0076329
  31180      5  .0551475
  31190      3  .0478738
  31190      4  .0084359
  31190      5  .0609495
  31210      3  .0423184
  31210      4  .0085451
  31210      5  .0712088
  31220      3  .0188827
  31220      4  .0038129
  31220      5  .0317738
  31230      3  .0188479
  31230      4  .0033212
  31230      5  .0239958
  31240      3  .0402265
  31240      4  .0070884
  31240      5  .0512135
  31250      3  .0157507
  31250      4  .0027755
  31250      5  .0200527
  32230      3  .2412000
  32230      4  .0288000
  32230      5  .5340000
  32250      3  .2040000
  32250      4  .0372000
  32250      5  .4524000
  32600      3  .0533300
  32600      4  .0097291
  32600      5  .1448558
  32610      3  .0123086
  32610      4  .0022455
  32610      5  .0334327
  32620      3  .1119615
  32620      4  .0204254
  32620      5  .3041115
  33010      3  .1020000
  33010      4  .0216000
  33010      5  .1344000
  33160      3  .0788274
  33160      4  .0136432
  33160      5  .2907519
  33200      3  .2331726
  33200      4  .0403568
  33200      5  .8600481
  34250      3  .0840000
  34250      4  .0144000
  34250      5  .4200000
  41030      3  .2328000
  41030      4  .0216000
  41030      5  .2976000
  41040      3  .0120247
  41040      4  .0022904
  41040      5  .0234768
  41050      3  .0088662
  41050      4  .0016888
  41050      5  .0173101
