_mos:,md5,md6,md7,md8,md9,md10,md11,md21,md22,md23
_names:,cnsman,fire,tcuws,rtail,busoth,acfdnf,hledpa,p5-12,p13-17,Psfte
ZONE,Contruction/Mfg - 2011 Base Emp,FIRE - 2011 Base Emp,TCU/Wholesale - 2011 Base Emp,Retail - 2011 Base Emp,Business/OtherServices - 2011 Base Emp,AccomFood/InfoCult - 2011 Base Emp,Health/Educat/PubAdmin - 2011 Base Emp,POP5-12,POP13-17,PostSec 2011 FT Enrl
7290,0,0,32,261,161,22,254,300,209,0
7300,203,874,27,1905,521,725,199,169,99,42
7310,303,579,185,154,484,0,1528,0,0,0
7320,42,78,26,40,38,31,133,349,268,0
7330,31,64,14,53,124,153,166,665,467,0
7340,120,882,26,120,284,186,416,249,152,0
7350,59,793,28,392,334,418,703,483,363,0
7360,105,0,0,5,0,14,35,219,150,0
7370,50,0,0,6,36,5,234,283,237,0
7380,0,0,0,18,0,5,234,242,185,0
7390,134,128,0,95,160,66,262,892,495,0
7400,92,19,423,222,260,281,86,425,220,0
7410,1924,147,777,309,834,305,207,499,286,1112
7420,552,27,212,47,139,120,1236,1315,653,1177
7430,60,32,15,230,18,255,67,433,255,0
7440,101,135,13,48,234,47,283,704,413,0
7450,42,0,32,12,21,138,152,803,414,0
7460,2511,127,1125,193,651,178,774,709,321,18
7470,3105,806,1560,869,1945,377,2073,655,340,0
7480,84,34,104,71,249,112,2028,1059,598,382
7490,0,0,23,39,28,55,19,116,92,0
7500,151,454,138,611,450,473,1159,641,471,196
7510,64,0,39,11,27,10,223,327,331,0
7520,0,0,0,6,28,6,81,558,393,0
7530,128,44,29,4,127,28,65,291,217,31
7540,91,0,42,10,0,69,130,529,350,0
7550,191,47,0,14,123,12,377,1133,798,0
7560,110,50,31,85,181,149,121,1116,645,0
7570,108,150,14,122,297,69,348,1065,599,5373
7580,44,37,116,24,126,38,400,1165,749,0
7590,43,41,27,12,54,48,207,781,478,0
7600,75,58,20,156,120,140,136,771,473,0
7610,182,57,44,113,226,94,258,735,510,0
7620,63,0,29,4,67,3,153,137,144,0
7630,150,0,0,71,93,77,190,848,546,0
7640,87,0,40,17,54,4,0,70,65,0
7650,39,228,0,203,273,263,490,517,289,0
7660,79,27,17,147,59,54,248,642,417,0
7670,572,93,340,49,290,106,452,1019,588,0
7680,73,14,56,25,99,38,2953,313,248,0
7690,287,37,146,11,13,15,104,384,227,0
7700,44,49,27,91,190,415,134,493,217,0
7710,278,143,422,80,275,146,355,88,64,0
7720,164,74,32,129,279,154,690,1899,1600,0
7730,0,0,0,9,137,170,82,388,298,0
7740,408,154,212,41,147,39,379,385,381,0
7750,65,0,20,4,11,1,24,40,42,0
7760,100,322,109,690,720,654,576,1160,791,0
7770,330,45,114,277,274,169,512,938,688,0
7780,316,52,926,378,268,238,299,719,570,0
7790,43,99,20,35,196,72,206,511,371,0
7800,4202,114,2886,486,1304,52,87,4,2,0
7810,323,0,50,38,53,8,29,110,112,0
7820,89,0,5,0,21,0,38,29,25,0
7830,368,0,69,25,232,107,87,458,288,0
7840,280,14,76,39,195,190,308,533,508,0
7850,29,27,0,21,29,85,0,101,123,0
7860,91,25,59,27,66,37,77,766,338,0
7870,1686,233,577,103,882,216,424,322,259,0
7880,287,0,46,49,46,8,0,27,24,797
7890,777,66,716,151,212,264,219,1186,674,0
7900,642,59,124,152,169,109,350,1474,916,0
7910,1072,139,348,680,567,262,240,833,697,0
7920,454,76,350,173,277,51,341,734,548,0
7930,655,210,235,266,565,649,532,512,382,0
8000,65,41,0,26,169,244,146,310,287,0
8010,97,12,0,39,105,225,48,304,275,0
8020,62,63,17,127,115,234,146,343,323,0
8030,55,116,52,229,297,208,682,678,633,0
8040,0,0,0,38,167,38,0,179,169,0
8050,37,77,70,150,136,128,133,214,161,0
8060,350,433,313,1761,955,763,312,620,470,35
8070,140,731,30,771,771,891,1166,506,534,0
8080,327,133,0,70,187,245,680,483,397,0
8090,74,23,0,56,73,167,265,299,278,0
8100,0,0,0,4,45,90,73,9,5,0
8110,253,194,81,83,372,292,310,736,420,0
8120,509,65,109,518,237,318,257,541,550,0
8130,175,113,81,171,127,156,56,34,53,0
8140,99,0,0,8,77,49,36,146,138,0
8150,176,0,0,6,0,11,38,52,56,0
8160,1768,33,611,4,996,120,100,65,40,0
8170,90,17,57,31,97,120,41,80,49,0
8180,160,0,407,46,103,217,545,61,50,0
8200,28,0,45,12,80,30,12,201,120,0
8210,267,480,118,395,468,717,369,200,192,8
8220,417,200,134,204,668,334,2387,562,439,0
8300,116,303,58,795,349,252,34,0,0,0
8310,1233,286,739,1780,936,1298,441,20,18,8
8320,147,281,62,480,679,311,1027,623,383,213
8330,1332,25,506,365,489,293,12,227,146,0
8340,44,0,0,27,75,7,23,289,215,0
8350,201,39,20,22,87,61,532,672,445,0
8360,194,547,137,621,472,590,664,182,98,1210
8370,62,0,25,5,29,205,91,141,96,0
8400,4348,363,2178,1005,1113,927,542,1137,794,0
8410,68,17,197,5,0,4,12,95,77,0
8420,72,0,36,19,114,6,329,722,513,0
8430,0,123,50,288,274,120,602,845,575,0
8440,64,0,0,9,41,239,60,313,171,0
8450,49,20,0,40,78,73,206,227,194,0
8460,0,56,0,83,88,178,202,98,93,0
8470,0,0,0,9,127,90,0,53,46,0
