t groups
a     gn: 'PNR lots' /2016-05-20 15:04:17
a   gn00:  51640
a   gn00:  51650
a   gn00:  51660
a   gn00:  51670
a   gn00:  51680
a   gn00:  51690
a   gn00:  51700
a   gn00:  51710
a   gn00:  51720
a   gn00:  51730
a   gn00:  51740
a   gn00:  51750
a   gn00:  51760
a   gn00:  51770
a   gn00:  51780
a   gn00:  51790
a   gn00:  51800
a   gn00:  51810
a   gn00:  52010
a   gn00:  52020
a   gn00:  52030
a   gn00:  52040
a   gn00:  52050
a   gn00:  52060
a   gn00:  52070
a   gn00:  52080
a   gn00:  52090
a   gn00:  52100
a   gn00:  52110
a   gn00:  52120
a   gn00:  52130
a   gn00:  52140
a   gn00:  52150
a   gn00:  52160
a   gn00:  52170
a   gn00:  52180
a   gn00:  52190
a   gn00:  52200
a   gn00:  52210
a   gn00:  52220
a   gn00:  52230
a   gn00:  52240
a   gn00:  52250
a   gn00:  52260
a   gn00:  52270
a   gn00:  53010
a   gn00:  53020
a   gn00:  53030
a   gn00:  53040
a   gn00:  53050
a   gn00:  53060
a   gn00:  53070
a   gn00:  53080
a   gn00:  53090
a   gn00:  53100
a   gn00:  53110
a   gn00:  53120
a   gn00:  53130
a   gn00:  53140
a   gn00:  53150
a   gn00:  53160
a   gn00:  53170
a   gn00:  53180
a   gn00:  53190
a   gn00:  53200
a   gn00:  53210
a   gn00:  53220
a   gn00:  54010
a   gn00:  54020
a   gn00:  54030
a   gn00:  54040
a   gn00:  54050
a   gn00:  54060
a   gn00:  54070
a   gn00:  54080
a   gn00:  54090
a   gn00:  54100
a   gn00:  54110
a   gn00:  54120
a   gn00:  54130
a   gn00:  54140
a   gn00:  54150
a   gn00:  54160
a   gn00:  54170
a   gn00:  54180
a   gn00:  54190
a   gn00:  54200
a   gn00:  54210
a   gn00:  54220
a   gn00:  54230
a   gn00:  54240
a   gn00:  54250
a   gn00:  54260
a   gn00:  54270
a   gn00:  54280
a   gn00:  54290
a   gn00:  54300
a   gn00:  54310
a   gn00:  54320
a   gn00:  54330
a   gn00:  54340
a   gn00:  54350
a   gn00:  54360
a   gn00:  54370
a   gn00:  54380
a   gn00:  54390
a   gn00:  54400
a   gn00:  54410
a   gn00:  54420
a   gn00:  54430
a   gn00:  54440
a   gn00:  54450
a   gn00:  61010
a   gn00:  61020
a   gn00:  61030
a   gn00:  61040
a   gn00:  61050
a   gn00:  61060
a   gn00:  61070
a   gn00:  61080
a   gn00:  61090
a   gn00:  61100
a   gn00:  61110
a   gn00:  61120
a   gn00:  61130
a   gn00:  61140
a   gn00:  61150
a   gn00:  61160
a   gn00:  61170
a   gn00:  61180
a   gn00:  61190
a   gn00:  61200
a   gn00:  61210
a   gn00:  61220
a   gn00:  61230
a   gn00:  61240
a   gn00:  61250
a   gn00:  61260
a   gn00:  61270
a   gn00:  61280
a   gn00:  61290
a   gn00:  61300
a   gn00:  61310
a   gn00:  61320
a   gn00:  61330
a   gn00:  61340
a   gn00:  61350
a   gn00:  61360
a   gn00:  61370
a   gn00:  61380
a   gn00:  61390
a   gn00:  61400
a   gn00:  61410
a   gn00:  61420
a   gn00:  61430
a   gn00:  61440
a   gn00:  61450
a   gn00:  61460
a   gn00:  61470
a   gn00:  61480
a   gn00:  61490
a   gn00:  61500
a   gn00:  61510
a   gn00:  61520
a   gn00:  61530
a   gn00:  61540
a   gn00:  61550
a   gn00:  61560
a   gn00:  61570
a   gn00:  61580
a   gn00:  61590
a   gn00:  61600
a   gn00:  61610
a   gn00:  61620
a   gn00:  61630
a   gn00:  61640
a   gn00:  61650
a   gn00:  61660
a   gn00:  61670
a   gn00:  61680
a   gn00:  61690
a   gn00:  61700
a   gn00:  61710
a   gn00:  61720
a   gn00:  61730
a   gn00:  61740
a   gn00:  61750
a   gn00:  61760
a   gn00:  61770
a   gn00:  61780
a   gn00:  61790
a   gn00:  61800
a   gn00:  61810
a   gn00:  61820
a   gn00:  61830
a   gn00:  61840
a   gn00:  61850
a   gn00:  61860
a   gn00:  61870
a   gn00:  61880
a   gn00:  61890
a   gn00:  61900
a   gn00:  61910
a   gn00:  61920
a   gn00:  61930
a   gn00:  62010
a   gn00:  62020
a   gn00:  62030
a   gn00:  62040
a   gn00:  62050
a   gn00:  62060
a   gn00:  62070
a   gn00:  62080
a   gn00:  62090
a   gn00:  62100
a   gn00:  62110
a   gn00:  62120
a   gn00:  62130
a   gn00:  62140
a   gn00:  62150
a   gn00:  62160
a   gn00:  62170
a   gn00:  62180
a   gn00:  62190
a   gn00:  62200
a   gn00:  62210
a   gn00:  62220
a   gn00:  62230
a   gn00:  62240
a   gn00:  62250
a   gn00:  62260
a   gn00:  62270
a   gn00:  62280
a   gn00:  62290
a   gn00:  62300
a   gn00:  62310
a   gn00:  62320
a   gn00:  62330
a   gn00:  62340
a   gn00:  62350
a   gn00:  62360
a   gn00:  62370
a   gn00:  62380
a   gn00:  62390
a   gn00:  62400
a   gn00:  62410
a   gn00:  62420
a   gn00:  62430
a   gn00:  62440
a   gn00:  62450
a   gn00:  62460
a   gn00:  62470
a   gn00:  62480
a   gn00:  62490
a   gn00:  62500
a   gn00:  62510
a   gn00:  62520
a   gn00:  62530
a   gn00:  62540
a   gn00:  62550
a   gn00:  62560
a   gn00:  62570
a   gn00:  62580
a   gn00:  62590
a   gn00:  62600
a   gn00:  62610
a   gn00:  62620
a   gn00:  62630
a   gn00:  62640
a   gn00:  62650
a   gn00:  62660
a   gn00:  62670
a   gn00:  62680
a   gn00:  62690
a   gn00:  62700
a   gn00:  62710
a   gn00:  62720
a   gn00:  62730
a   gn00:  62740
a   gn00:  63010
a   gn00:  63020
a   gn00:  63030
a   gn00:  63040
a   gn00:  63050
a   gn00:  63060
a   gn00:  63070
a   gn00:  63080
a   gn00:  63090
a   gn00:  63100
a   gn00:  63110
a   gn00:  63120
a   gn00:  63130
a   gn00:  63140
a   gn00:  63150
a   gn00:  63160
a   gn00:  63170
a   gn00:  63180
a   gn00:  63190
a   gn00:  63200
a   gn00:  63210
a   gn00:  63220
a   gn00:  63230
a   gn00:  63240
a   gn00:  63250
a   gn00:  63260
a   gn00:  63270
a   gn00:  63280
a   gn00:  63290
a   gn00:  63300
a   gn00:  63310
a   gn00:  63320
a   gn00:  63330
a   gn00:  63340
a   gn00:  63350
a   gn00:  63360
a   gn00:  63370
a   gn00:  63380
a   gn00:  63390
a   gn00:  63400
a   gn00:  63410
a   gn00:  63420
a   gn00:  63430
a   gn00:  63440
a   gn00:  63450
a   gn00:  63460
a   gn00:  63470
a   gn00:  63480
a   gn00:  63490
a   gn00:  63500
a   gn00:  63510
a   gn00:  63520
a   gn00:  63530
a   gn00:  63540
a   gn00:  63550
a   gn00:  63560
a   gn00:  63570
a   gn00:  63580
a   gn00:  63590
a   gn00:  63600
a   gn00:  63610
a   gn00:  63620
a   gn00:  63630
a   gn00:  63640
a   gn00:  63650
a   gn00:  63660
a   gn00:  63670
a   gn00:  63680
a   gn00:  63690
a   gn00:  63700
a   gn00:  63710
a   gn00:  63720
a   gn00:  63730
a   gn00:  63740
a   gn00:  63750
a   gn00:  63760
a   gn00:  63770
a   gn00:  63780
a   gn00:  63790
a   gn00:  63800
a   gn00:  63810
a   gn00:  63820
a   gn00:  63830
a   gn00:  63840
a   gn00:  63850
a   gn00:  63860
a   gn00:  63870
a   gn00:  63880
