c Emme Modeller - Turn Transaction
c Date: 2016-05-31 15:30:30
c Project:        Combined Itineraries                                        
c Scenario 2100:  2015 MD Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 224404  22420 224104    -1      0      0      0
a 224404  22420 224203    -1      0      0      0
a 224404  22420 224301    -1      0      0      0
a 224404  22420 224408    -1      0      0      0
a 224404 224203  22420    -1      0      0      0
a 224404 224203 223304    -1      0      0      0
a 224404 224203 224104     0      0      0      0
a 224404 224203 224203     0      0      0      0
a 224404 224203 224301    -1      0      0      0
a 224404 224203 224408    -1      0      0      0
a 224404 224204  22420    -1      0      0      0
a 224404 224204 223304    -1      0      0      0
a 224404 224204 224104    -1      0      0      0
a 224404 224204 224203    -1      0      0      0
a 224404 224204 224301    -1      0      0      0
a 224404 224204 224408    -1      0      0      0
a 224404 224402  22420    -1      0      0      0
a 224404 224402 223304    -1      0      0      0
a 224404 224402 224104    -1      0      0      0
a 224404 224402 224203    -1      0      0      0
a 224404 224402 224301    -1      0      0      0
a 224404 224402 224408    -1      0      0      0
a 224404 224405  22420    -1      0      0      0
a 224404 224405 223304    -1      0      0      0
a 224404 224405 224104    -1      0      0      0
a 224404 224405 224203    -1      0      0      0
a 224404 224405 224301    -1      0      0      0
a 224404 224405 224408    -1      0      0      0
a 224404 224408  22420    -1      0      0      0
a 224404 224408 223304    -1      0      0      0
a 224404 224408 224104    -1      0      0      0
a 224404 224408 224203    -1      0      0      0
a 224404 224408 224301    -1      0      0      0
a 224404 224408 224408     0      0      0      0
a 224406  22440  22440     0      0      0      0
a 224406  22440 224402    -1      0      0      0
a 224406  22440 224403    -1      0      0      0
a 224406  22440 224408    -1      0      0      0
a 224406  22440 224411    -1      0      0      0
a 224406 224402  22440    -1      0      0      0
a 224406 224402 224402     0      0      0      0
a 224406 224402 224403    -1      0      0      0
a 224406 224402 224408     0      0      0      0
