mat_id, mo393, mo394, mo27, mo28, mo13
mat_name, 250C30, 500C30, WrPr30, OtPk30, BkSc30
mat_desc, 2030_250m_car_share, 2030_500m_car_share, 2030_work_parking, 2030_nonwork_parking, 2030_bike_score
27430, 1, 2, 0.45, 0.2, 3
27440, 0, 2, 0.45, 0.2, 3
27450, 0, 0, 0.4, 0.15, 3
27460, 1, 1, 0.25, 0.2, 3
27470, 1, 1, 0.25, 0.2, 3
27480, 0, 1, 0.35, 0.15, 3
27490, 0, 0, 0.25, 0.2, 3
27500, 0, 0, 0.25, 0.2, 4
27510, 0, 0, 0.25, 0.15, 3
27520, 0, 0, 0.25, 0.15, 3
27530, 0, 0, 0.4, 0.15, 4
27540, 0, 0, 0.05, 0.15, 4
27550, 0, 0, 0.25, 0.15, 3
27560, 0, 0, 0.25, 0.2, 4
27570, 0, 0, 0.25, 0.2, 4
27580, 0, 0, 0.25, 0.2, 4
27590, 0, 0, 0.25, 0.2, 4
27600, 0, 0, 0.25, 0.2, 4
27610, 0, 1, 0.15, 0.2, 5
27620, 1, 1, 0.15, 0.2, 5
27630, 0, 0, 0.25, 0.2, 4
27640, 0, 0, 0.25, 0.2, 4
27650, 1, 1, 0.3, 0.15, 5
27660, 0, 0, 0.35, 0.15, 4
28010, 1, 1, 0.25, 0.2, 3
28020, 1, 1, 0.25, 0.2, 3
28030, 0, 0, 0.35, 0.15, 3
28040, 0, 0, 0.35, 0.15, 3
28050, 0, 2, 0.3, 0.2, 3
28060, 0, 1, 0.3, 0.2, 3
28070, 0, 2, 0.3, 0.2, 3
28080, 0, 0, 0.25, 0.2, 3
28090, 0, 0, 0.25, 0.2, 3
28100, 0, 0, 0.25, 0.15, 3
28110, 0, 0, 0.25, 0.2, 3
28120, 0, 1, 0.25, 0.2, 3
28130, 0, 1, 0.25, 0.2, 3
28140, 0, 0, 0.25, 0.2, 4
28150, 0, 0, 0, 0, 3
28160, 0, 1, 0, 0, 4
28170, 0, 2, 0.5, 0.2, 3
28180, 0, 2, 0.45, 0.2, 3
28190, 0, 1, 0.35, 0.15, 3
28200, 0, 0, 0.25, 0.2, 3
28210, 0, 0, 0.25, 0.2, 4
28220, 0, 0, 0.35, 0.15, 4
28230, 0, 0, 0, 0, 3
28240, 1, 2, 0.45, 0.2, 3
28250, 0, 2, 0.45, 0.2, 3
28260, 0, 2, 0.35, 0.15, 3
28270, 0, 0, 0.35, 0.15, 4
28280, 0, 0, 0.25, 0.2, 4
28290, 1, 3, 0.55, 0.2, 3
28300, 0, 1, 0.25, 0.2, 4
28310, 0, 1, 0.25, 0.15, 4
28320, 1, 2, 0.4, 0.15, 3
28330, 2, 3, 0.6, 0.2, 3
28340, 0, 1, 0.25, 0.15, 4
28350, 0, 1, 0.25, 0.15, 4
28360, 1, 3, 0.4, 0.15, 3
28370, 1, 3, 0.4, 0.15, 3
28380, 1, 3, 0.5, 0.2, 3
28390, 0, 2, 0.5, 0.2, 3
28400, 0, 2, 0.25, 0.15, 4
28410, 0, 1, 0.25, 0.15, 4
28420, 0, 1, 0.25, 0.15, 3
28430, 0, 2, 0.3, 0.15, 4
28440, 0, 1, 0.25, 0.15, 4
28450, 0, 1, 0.25, 0.15, 3
28460, 0, 1, 0.25, 0.15, 4
28470, 1, 2, 0.3, 0.15, 4
28480, 0, 2, 0.3, 0.15, 4
28490, 0, 1, 0.25, 0.15, 4
28500, 0, 2, 0.35, 0, 3
28510, 0, 2, 0.25, 0.15, 3
28520, 0, 1, 0.25, 0.15, 3
28530, 0, 1, 0.25, 0.15, 3
