c Emme Modeller - Turn Transaction
c Scenario 3000:  2030 Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 223806 224001 224001     0      0      0      0
a 223806 224001 224004    -1      0      0      0
a 223806 224001 224005     0      0      0      0
a 223806 224005 223801    -1      0      0      0
a 223806 224005 223805    -1      0      0      0
a 223806 224005 223808    -1      0      0      0
a 223806 224005 224001    -1      0      0      0
a 223806 224005 224004    -1      0      0      0
a 223806 224005 224005     0      0      0      0
a 223808 223804 223804     0      0      0      0
a 223808 223804 223806    -1      0      0      0
a 223808 223804 223809    -1      0      0      0
a 223808 223804 223810    -1      0      0      0
a 223808 223804 223901    -1      0      0      0
a 223808 223805 223804    -1      0      0      0
a 223808 223805 223806    -1      0      0      0
a 223808 223805 223809    -1      0      0      0
a 223808 223805 223810    -1      0      0      0
a 223808 223805 223901    -1      0      0      0
a 223808 223806 223804     0      0      0      0
a 223808 223806 223806     0      0      0      0
a 223808 223806 223809    -1      0      0      0
a 223808 223806 223810    -1      0      0      0
a 223808 223806 223901    -1      0      0      0
a 223808 223809 223804    -1      0      0      0
a 223808 223809 223806    -1      0      0      0
a 223808 223809 223809     0      0      0      0
a 223808 223809 223810    -1      0      0      0
a 223808 223809 223901    -1      0      0      0
a 223808 223903 223804    -1      0      0      0
a 223808 223903 223806    -1      0      0      0
a 223808 223903 223809    -1      0      0      0
a 223808 223903 223810    -1      0      0      0
a 223808 223903 223901    -1      0      0      0
a 223808 225301 223804    -1      0      0      0
a 223808 225301 223806    -1      0      0      0
a 223808 225301 223809    -1      0      0      0
a 223808 225301 223810    -1      0      0      0
a 223808 225301 223901    -1      0      0      0
a 223809 223807 223808    -1      0      0      0
a 223809 223807 225101    -1      0      0      0
a 223809 223807 225201    -1      0      0      0
a 223809 223807 225203    -1      0      0      0
a 223809 223807 225301    -1      0      0      0
a 223809 223808 223808     0      0      0      0
a 223809 223808 225101    -1      0      0      0
a 223809 223808 225201    -1      0      0      0
a 223809 223808 225203    -1      0      0      0
a 223809 223808 225301    -1      0      0      0
a 223809 223810 223808    -1      0      0      0
a 223809 223810 225101    -1      0      0      0
a 223809 223810 225201    -1      0      0      0
a 223809 223810 225203    -1      0      0      0
a 223809 223810 225301    -1      0      0      0
a 223809 225201 223808    -1      0      0      0
a 223809 225201 225101    -1      0      0      0
a 223809 225201 225201     0      0      0      0
a 223809 225201 225203     0      0      0      0
a 223809 225201 225301    -1      0      0      0
a 223809 225202 223808    -1      0      0      0
a 223809 225202 225101    -1      0      0      0
a 223809 225202 225201    -1      0      0      0
a 223809 225202 225203    -1      0      0      0
a 223809 225202 225301    -1      0      0      0
a 224001  22280  22280     0      0      0      0
a 224001  22280 222705    -1      0      0      0
a 224001  22280 222802    -1      0      0      0
a 224001  22280 223004    -1      0      0      0
a 224001  22280 223806    -1      0      0      0
a 224001  22280 224002    -1      0      0      0
a 224001 222705  22280    -1      0      0      0
a 224001 222705 222705     0      0      0      0
a 224001 222705 222802    -1      0      0      0
a 224001 222705 223004    -1      0      0      0
a 224001 222705 223806     0      0      0      0
a 224001 222705 224002    -1      0      0      0
a 224001 222801  22280    -1      0      0      0
a 224001 222801 222705    -1      0      0      0
a 224001 222801 222802    -1      0      0      0
a 224001 222801 223004    -1      0      0      0
a 224001 222801 223806    -1      0      0      0
a 224001 222801 224002    -1      0      0      0
a 224001 223004  22280    -1      0      0      0
a 224001 223004 222705    -1      0      0      0
a 224001 223004 222802    -1      0      0      0
a 224001 223004 223004     0      0      0      0
a 224001 223004 223806    -1      0      0      0
a 224001 223004 224002    -1      0      0      0
a 224001 223806  22280    -1      0      0      0
a 224001 223806 222705    -1      0      0      0
a 224001 223806 222802    -1      0      0      0
a 224001 223806 223004    -1      0      0      0
a 224001 223806 223806     0      0      0      0
a 224001 223806 224002    -1      0      0      0
a 224001 224004  22280    -1      0      0      0
a 224001 224004 222705    -1      0      0      0
a 224001 224004 222802    -1      0      0      0
a 224001 224004 223004    -1      0      0      0
a 224001 224004 223806    -1      0      0      0
a 224001 224004 224002    -1      0      0      0
a 224003 223004 223003     0      0      0      0
a 224003 223004 223004     0      0      0      0
a 224003 223004 223005    -1      0      0      0
a 224003 223004 223008    -1      0      0      0
a 224003 223007 223003    -1      0      0      0
a 224003 223007 223004    -1      0      0      0
a 224003 223007 223005    -1      0      0      0
a 224003 223007 223008    -1      0      0      0
a 224003 223008 223003    -1      0      0      0
a 224003 223008 223004    -1      0      0      0
a 224003 223008 223005    -1      0      0      0
a 224003 223008 223008     0      0      0      0
a 224003 224005 223003    -1      0      0      0
a 224003 224005 223004    -1      0      0      0
a 224003 224005 223005    -1      0      0      0
a 224003 224005 223008    -1      0      0      0
