    line   @hdwyam   @hdwymd   @hdwypm  @brdline
'975E1M'         0         5         0         1
'975E1P'         0         0         5         1
'975W1A'         3         0         0         1
'975W1M'         0         5         0         1
'975W1P'         0         0         5         1
'976N1X'         5         5         5         1
'976S1X'         5         5         5         1
'977E1X'        10        10        10         1
'977W1X'        10        10        10         1
'C01N1X'         9        13         9         1
'C01S1X'         9        13         7         1
'C02N1X'        38        38        38         1
'C02S1X'        38        38        38         1
'C03L1X'        19        38        19         1
'C04N1X'        38        38        38         1
'C04S1X'        38        38        38         1
'C05L1X'        38         0         0         1
'C07N1X'        38        38         0         1
'C07S1X'        38        38        38         1
'C08L1X'        38        38        38         1
'C09L1X'        38         0        38         1
'C11N1X'        38        38        38         1
'C11S1X'        38         0        38         1
'C22N1X'        38         0        38         1
'F01E1X'         9        19         9         1
'F01W1X'         9        19         9         1
'F02E1X'         9        19         9         1
'F02W1X'        13        19         9         1
'F03E1X'         9        19         9         1
'F03W1X'         9        19         9         1
'F04N1X'        19        19        19         1
'F04S1X'        19        19        19         1
'F05E1X'        19        19        19         1
'F05W1X'        19        19        19         1
'F06L1X'        19        38        19         1
'F07L1X'        19        19        19         1
'F12N1X'        19         0        19         1
'F12S1X'        19        38        13         1
'F15E1X'        38        38        38         1
'F15W1X'        19        38        38         1
'F16E1X'        19         0        19         1
'F16W1X'        19         0        19         1
'F17L1X'        38         0        19         1
'F21E1X'        38        38        38         1
'F21W1X'        38        38         0         1
'F22L1X'        38         0         0         1
'F23L1X'        38         0         0         1
'F24L1X'        38         0         0         1
'F26L1X'        38         0         0         1
'F31N1X'        13        19        13         1
'F31S1X'         7        19        13         1
'F32L1X'        13        19        19         1
'F33L1X'        13        19        13         1
'F34N1X'        19        19        19         1
'F34S1X'        19        19        13         1
'F35E1X'        19        38         0         1
'F35W1X'        19         0         0         1
'F39L1X'         0        38        38         1
'F66E1X'        19        19        19         1
'F66W1X'        19        19        19         1
