    line   @hdwyam   @hdwymd   @hdwypm
'977E1X'        12        12        12
'977W1X'        12        12        12
'C01N1X'        15        15        15
'C01S1X'        15        15        15
'C02N1X'        44        44        44
'C02S1X'        44        44        44
'C03L1X'        22        22        22
'C04N1X'        44        44        44
'C04S1X'        44        44        44
'F01E1X'        11        11        11
'F01W1X'        11        11        11
'F02E1X'        11        11        11
'F02W1X'        11        11        11
'F03E1X'        11        11        11
'F03W1X'        11        11        11
'F04N1X'        22        22        22
'F04S1X'        22        22        22
'F05E1X'        22        22        22
'F05W1X'        22        22        22
'F06L1X'        22        22        22
'F07L1X'        22        22        22
'F12N1X'        22        22        22
'F12S1X'        22        22        22
'F15E1X'        44        44        44
'F15W1X'        44        44        44
'F16E1X'        22        22        22
'F16W1X'        22        22        22
'F17L1X'        44        44        44
'F21E1X'        44        44        44
'F21W1X'        44        44        44
'F22L1X'        22        22        22
'F23L1X'        44        44        44
'F31N1X'        11        22        11
'F31S1X'        11        22        11
'F32L1X'        18        22        18
'F33L1X'        18        22        18
'F34N1X'        18        22        18
'F34S1X'        18        22        18
'F35E1X'        22         0        22
'F35W1X'        44         0        44
'F66E1X'        22        22        22
'F66W1X'        22        22        22
